 Corr.Time[ms]           Correlation(1->2+2->1)  Weighting(1->2+2->1)    Correlation(1->2)       Weighting(1->2)         Correlation(2->1)       Weighting(2->1)
 8,79979785531759E-0003  5,54649134383641E-0003  1,36410112874321E+0002  5,54649134383641E-0003  1,36410112874321E+0002  5,54649134383641E-0003  1,36410112874321E+0002
 9,59977973252535E-0003  1,17585951964781E-0002  1,46635275672226E+0002  1,17585951964781E-0002  1,46635275672226E+0002  1,17585951964781E-0002  1,46635275672226E+0002
 1,03997616097331E-0002  3,62937545209559E-0003  1,86005459278551E+0002  3,62937545209559E-0003  1,86005459278551E+0002  3,62937545209559E-0003  1,86005459278551E+0002
 1,11997425556182E-0002 -5,26843883374460E-0003  1,58674258855216E+0002 -5,26843883374460E-0003  1,58674258855216E+0002 -5,26843883374460E-0003  1,58674258855216E+0002
 1,19997244328260E-0002  5,72923923582215E-0003  1,04293384214055E+0002  5,72923923582215E-0003  1,04293384214055E+0002  5,72923923582215E-0003  1,04293384214055E+0002
 1,31996972486376E-0002  1,40768018123758E-0003  2,59425610600148E+0002  1,40768018123758E-0003  2,59425610600148E+0002  1,40768018123758E-0003  2,59425610600148E+0002
 1,47996600717306E-0002  8,67372040663439E-0004  3,43863803875686E+0002  8,67372040663439E-0004  3,43863803875686E+0002  8,67372040663439E-0004  3,43863803875686E+0002
 1,63996238261461E-0002  5,05992207171888E-0003  2,88248867889579E+0002  5,05992207171888E-0003  2,88248867889579E+0002  5,05992207171888E-0003  2,88248867889579E+0002
 1,79995857179165E-0002  1,96390138073227E-0003  2,76716896063110E+0002  1,96390138073227E-0003  2,76716896063110E+0002  1,96390138073227E-0003  2,76716896063110E+0002
 1,95995494723320E-0002  6,73636248230906E-0003  2,14824131777985E+0002  6,73636248230906E-0003  2,14824131777985E+0002  6,73636248230906E-0003  2,14824131777985E+0002
 2,11995132267475E-0002  8,21725092961146E-0003  2,37613243723998E+0002  8,21725092961146E-0003  2,37613243723998E+0002  8,21725092961146E-0003  2,37613243723998E+0002
 2,27994769811630E-0002  5,04798252077545E-0003  2,15314002408081E+0002  5,04798252077545E-0003  2,15314002408081E+0002  5,04798252077545E-0003  2,15314002408081E+0002
 2,43994388729334E-0002  6,48755539537418E-0003  1,69013122118437E+0002  6,48755539537418E-0003  1,69013122118437E+0002  6,48755539537418E-0003  1,69013122118437E+0002
 2,67993845045567E-0002  8,97667088977998E-0003  2,29956768157557E+0002  8,97667088977998E-0003  2,29956768157557E+0002  8,97667088977998E-0003  2,29956768157557E+0002
 2,99993101507425E-0002  5,41036971935682E-0003  2,94401262022261E+0002  5,41036971935682E-0003  2,94401262022261E+0002  5,41036971935682E-0003  2,94401262022261E+0002
 3,31992357969284E-0002 -3,54482810403267E-0004  3,97803688587459E+0002 -3,54482810403267E-0004  3,97803688587459E+0002 -3,54482810403267E-0004  3,97803688587459E+0002
 3,63991633057594E-0002  7,72270561876099E-0003  2,03431339209777E+0002  7,72270561876099E-0003  2,03431339209777E+0002  7,72270561876099E-0003  2,03431339209777E+0002
 3,95990908145905E-0002  2,89850030006287E-0003  2,45674985556845E+0002  2,89850030006287E-0003  2,45674985556845E+0002  2,89850030006287E-0003  2,45674985556845E+0002
 4,27990183234215E-0002  8,88343381712092E-0003  2,74771450497894E+0002  8,88343381712092E-0003  2,74771450497894E+0002  8,88343381712092E-0003  2,74771450497894E+0002
 4,59989421069622E-0002  1,52940692330453E-0003  3,73508239171415E+0002  1,52940692330453E-0003  3,73508239171415E+0002  1,52940692330453E-0003  3,73508239171415E+0002
 4,91988696157932E-0002  4,07947906151538E-0003  1,99932255840987E+0002  4,07947906151538E-0003  1,99932255840987E+0002  4,07947906151538E-0003  1,99932255840987E+0002
 5,39987608790398E-0002  7,09095250214893E-0003  3,44350354235431E+0002  7,09095250214893E-0003  3,44350354235431E+0002  7,09095250214893E-0003  3,44350354235431E+0002
 6,03986121714115E-0002  5,64666095307842E-0003  2,42404521262277E+0002  5,64666095307842E-0003  2,42404521262277E+0002  5,64666095307842E-0003  2,42404521262277E+0002
 6,67984634637833E-0002  5,34556643098167E-0003  5,33077836085035E+0002  5,34556643098167E-0003  5,33077836085035E+0002  5,34556643098167E-0003  5,33077836085035E+0002
 7,31983184814453E-0002  7,35540336925940E-0003  3,52431140667392E+0002  7,35540336925940E-0003  3,52431140667392E+0002  7,35540336925940E-0003  3,52431140667392E+0002
 7,95981734991074E-0002  5,20684604599624E-0003  3,65007686647516E+0002  5,20684604599624E-0003  3,65007686647516E+0002  5,20684604599624E-0003  3,65007686647516E+0002
 8,59980285167694E-0002  7,28192435310037E-0003  4,07520998555638E+0002  7,28192435310037E-0003  4,07520998555638E+0002  7,28192435310037E-0003  4,07520998555638E+0002
 9,23978760838509E-0002  6,71817107304458E-0003  5,68771035673949E+0002  6,71817107304458E-0003  5,68771035673949E+0002  6,71817107304458E-0003  5,68771035673949E+0002
 9,87977311015129E-0002  3,43982161736883E-0003  2,85636569403299E+0002  3,43982161736883E-0003  2,85636569403299E+0002  3,43982161736883E-0003  2,85636569403299E+0002
 1,08397513628006E-0001  3,87745472887396E-0003  4,02598343133986E+0002  3,87745472887396E-0003  4,02598343133986E+0002  3,87745472887396E-0003  4,02598343133986E+0002
 1,21197216212749E-0001  6,36812679683041E-0003  3,59513483030581E+0002  6,36812679683041E-0003  3,59513483030581E+0002  6,36812679683041E-0003  3,59513483030581E+0002
 1,33996918797493E-0001  4,57938700783713E-0003  4,67618719988223E+0002  4,57938700783713E-0003  4,67618719988223E+0002  4,57938700783713E-0003  4,67618719988223E+0002
 1,46796628832817E-0001  5,64790505192822E-0003  4,97096689692041E+0002  5,64790505192822E-0003  4,97096689692041E+0002  5,64790505192822E-0003  4,97096689692041E+0002
 1,59596338868141E-0001  5,43339263005149E-0003  8,60297370938198E+0002  5,43339263005149E-0003  8,60297370938198E+0002  5,43339263005149E-0003  8,60297370938198E+0002
 1,72396034002304E-0001  4,15747258211297E-0003  3,96129385847863E+0002  4,15747258211297E-0003  3,96129385847863E+0002  4,15747258211297E-0003  3,96129385847863E+0002
 1,85195744037628E-0001  4,35875412464533E-0003  5,90930533698028E+0002  4,35875412464533E-0003  5,90930533698028E+0002  4,35875412464533E-0003  5,90930533698028E+0002
 1,97995454072952E-0001  4,03600883183204E-0003  8,26754888186775E+0002  4,03600883183204E-0003  8,26754888186775E+0002  4,03600883183204E-0003  8,26754888186775E+0002
 2,17195019125938E-0001  5,17447264368467E-0003  7,97580419902244E+0002  5,17447264368467E-0003  7,97580419902244E+0002  5,17447264368467E-0003  7,97580419902244E+0002
 2,42794424295425E-0001  2,33059579674382E-0003  5,96082006110664E+0002  2,33059579674382E-0003  5,96082006110664E+0002  2,33059579674382E-0003  5,96082006110664E+0002
 2,68393844366074E-0001  3,47892823698054E-0003  2,04681117400067E+0003  3,47892823698054E-0003  2,04681117400067E+0003  3,47892823698054E-0003  2,04681117400067E+0003
 2,93993234634399E-0001  3,81631054769578E-0003  6,88927836160001E+0002  3,81631054769578E-0003  6,88927836160001E+0002  3,81631054769578E-0003  6,88927836160001E+0002
 3,19592654705048E-0001  4,33364629142611E-0003  9,23505187375734E+0002  4,33364629142611E-0003  9,23505187375734E+0002  4,33364629142611E-0003  9,23505187375734E+0002
 3,45192074775696E-0001  5,14564222143175E-0003  5,38009520413281E+0002  5,14564222143175E-0003  5,38009520413281E+0002  5,14564222143175E-0003  5,38009520413281E+0002
 3,70791494846344E-0001  4,21100454388720E-0003  6,41517639812526E+0002  4,21100454388720E-0003  6,41517639812526E+0002  4,21100454388720E-0003  6,41517639812526E+0002
