FCS Fitting Results

VEff[fl] =          0,398     
z0[µm] =            0,952     
w0[µm] =            0,274     
r1 =                0,0040    +-0,0249
t1[ms] =            0,5992    +-6769,9510
D1[µm²/s] =         31,3      +-353943,7
<N> =               250       +-1558
<C>[nM] =           1043      +-6500
k=z0/w0 =           3,474     
T =                 1,000     
tT[ms] =            68,84330  +-7220033,00000

t[ms]                Ex. Corr. Fit Corr. Resids.
176,9369049         -0,0004    0        -0,594
190,0433655         -0,0005    0        -0,712
203,1498413         -0,0006    0        -0,8539
222,8095398         -0,0005    0        -0,9073
249,0224762         -0,0006    0        -0,6541
275,2354126         -0,0008    0        -0,8444
301,4483337         -0,0008    0        -0,7235
327,6612854         -0,0008    0        -0,616
353,8742065         -0,0005    0        -0,3828
380,0871582         -0,0006    0        -0,5404
406,3000793         -0,0005    0        -0,3986
445,6194763         -0,0008    0        -0,6054
498,0453491         -0,0005    0        -0,462
550,4711914         -0,0003    0        -0,2265
602,8970947         -0,0004    0        -0,2843
655,322937          -0,0006    0        -0,5906
707,7488403         -0,0005    0        -0,3961
760,1746826         -0,0011    0        -0,8437
812,6005249         -0,0011    0        -0,8332
